25,15,A
35,25,A
50,35,A
55,45,A
65,50,A
75,50,A
75,30,A
85,40,A
90,50,A
100,30,A
105,50,A
110,40,A
115,30,A
115,50,A
125,5,A
130,15,A
130,35,A
140,20,A
155,5,C
155,15,C
165,5,C
10,25,D
10,40,D
20,30,D
20,45,D
25,35,D
30,40,D
35,45,D
40,50,D
30,55,E
30,60,E
40,60,E
45,70,C
55,60,C
55,65,C
55,80,C
60,65,C
65,70,C
10,70,B
10,80,B
15,65,B
15,85,B
20,65,B
25,70,B
25,75,B
65,85,E
75,80,E
75,90,E
55,95,D
65,100,D
45,110,D
25,95,A
30,90,A
40,80,A
40,100,A
45,85,A
10,105,C
10,115,C
5,135,C
15,120,C
20,115,C
20,105,C
25,110,C
35,120,E
25,130,E
20,140,E
15,145,E
65,115,B
65,120,B
60,120,B
45,135,C
40,145,C
55,145,C
65,145,C
65,140,C
60,130,C
60,155,D
60,160,D
50,155,D
50,160,D
40,155,D
40,160,D
80,155,A
85,160,A
95,155,A
105,160,A
110,155,A
120,160,C
130,160,C
135,160,C
80,130,E
80,145,E
95,130,E
110,135,E
110,145,E
80,105,A
80,120,A
90,100,A
95,120,A
100,105,A
110,110,A
110,120,A
125,135,B
125,145,B
135,135,B
135,145,B
125,120,D
125,125,D
135,125,D
80,60,B
85,70,B
90,75,B
95,70,B
100,60,B
150,145,A
150,155,A
160,160,A
165,150,A
155,140,A
100,85,C
110,75,C
115,70,C
115,100,C
125,85,C
130,65,C
135,115,C
140,70,C
140,85,C
140,100,C
130,55,D
135,50,D
140,50,D
145,40,D
145,55,D
155,75,B
155,90,B
155,110,B
155,120,B
160,65,B
160,130,B
170,65,B
170,135,B
155,50,A
160,40,A
160,25,A
175,15,A
175,50,A
