2,41,2,73,63,63,48,86,34,32,90,83,88,5,54,89,57,92,94,4,75,96,58,34,92,96,95,5,76,67,33,64,84,52,14,91,80,38,43,90,90,82,70,41,88,42,62,48,50,61,95,73,4,11,2,38,43,4,35,76,3,2,58,49,18,50,84,58,58,96,15,28,31,4,50,40,12,1,54,1,88,99,37,54,88,37,96,85,85,27,4,5,63,80,52,25,25,40,57,13,74,85,40,25,88,79,82,71,62,59,10,55,41,7,49,78,77,32,55,3,50,21,51,46,78,74,82,72,49,53,96,8,77,21,9,13,7,63,54,9,39,1,7,24,14,68,58,64,93,19,4,48,1,20,80,78,95,1,15,49,88,23,37,77,99,37,35,42,25,87,56,45,38,84,65,16,9,38,52,26,53,10,4,47,35,87,19,99,54,31,31,71,69,55,83,60,30,33,95,35
32,29,37,53,32,53,48,96,9,69,75,18,12,68,71,80,2,2,67,84,65,23,45,70,24,84,24,33,20,23,84,46,10,71,73,99,45,44,25,49,62,43,25,25,17,95,35,53,4,10,94,89,45,75,95,76,65,87,15,25,57,54,7,19,22,12,55,53,50,70,33,50,43,56,88,15,64,2,96,36,14,27,36,19,79,49,87,63,58,21,82,89,19,30,60,3,38,12,32,14,24,82,32,35,79,29,4,96,96,62,6,92,15,38,15,34,85,42,42,14,59,81,7,39,20,33,9,42,9,46,52,0,35,29,56,55,31,24,37,51,96,5,68,63,70,89,4,23,82,4,9,71,27,92,28,80,65,43,65,18,58,77,32,46,58,24,88,83,89,15,4,33,11,63,10,67,57,54,1,65,78,6,24,13,46,66,78,18,79,29,97,66,27,0,14,92,74,82,85,31
67,33,26,93,33,58,46,18,23,31,94,46,88,95,23,93,85,78,97,64,16,37,29,93,32,15,36,20,74,95,28,10,77,17,76,11,89,99,8,17,63,29,79,63,71,81,22,2,85,41,8,50,13,89,31,96,32,85,51,99,0,22,18,99,13,43,90,44,78,80,3,89,71,64,58,35,23,80,46,39,19,21,12,8,78,54,71,67,17,60,17,5,60,33,5,49,50,26,80,80,11,12,19,95,4,16,74,72,51,58,38,92,59,30,33,8,67,29,16,67,39,43,96,5,49,74,87,55,3,35,81,38,23,9,20,42,63,14,85,41,24,66,87,13,39,61,45,55,70,21,31,87,71,93,29,17,69,82,30,33,54,77,69,66,10,1,29,10,86,59,84,15,11,16,7,54,95,45,86,92,77,7,55,16,24,47,22,75,3,77,37,67,25,76,98,57,43,92,55,60
31,85,5,98,72,23,42,18,60,66,96,54,13,74,16,57,61,23,15,25,6,2,53,18,34,72,91,37,8,48,77,70,88,47,22,21,71,84,81,36,57,12,87,39,43,85,83,40,10,63,8,21,97,31,53,20,28,44,54,15,60,51,32,83,57,22,38,37,95,51,20,10,81,11,18,11,97,18,24,61,83,46,63,80,86,95,93,16,58,70,34,21,37,71,89,48,4,95,75,61,32,97,94,96,36,3,62,72,90,36,70,95,98,61,99,25,38,22,29,54,24,68,24,28,31,53,76,1,97,12,33,20,29,7,60,76,71,54,69,86,96,98,31,18,63,98,64,98,52,77,39,30,50,25,55,27,51,20,51,11,61,73,57,82,27,39,99,38,85,53,44,98,13,4,98,9,30,69,12,81,65,16,22,96,3,31,90,14,85,4,98,5,81,13,63,77,35,27,79,26
6,93,64,7,40,94,12,78,21,9,74,89,96,10,97,94,84,91,87,39,59,71,54,49,95,92,31,71,51,38,33,69,71,26,92,42,25,55,94,69,13,62,83,83,65,13,19,26,72,85,9,66,2,58,95,54,63,6,55,0,55,36,38,11,7,98,81,50,8,5,90,90,98,83,93,50,95,60,59,84,37,17,14,6,12,19,50,39,15,91,10,66,40,52,10,40,84,39,5,50,24,18,95,15,39,49,73,99,29,44,64,15,28,62,16,10,97,1,17,83,65,50,90,26,45,78,22,50,48,65,7,50,60,33,11,69,84,60,31,10,86,63,97,77,82,92,71,44,35,6,16,17,48,9,38,92,36,0,16,73,39,83,85,87,93,84,17,56,61,72,73,72,73,97,36,74,25,38,3,84,8,51,32,4,53,35,91,53,24,28,19,43,2,12,94,13,57,53,37,29
88,58,9,63,54,90,26,83,84,83,32,74,33,0,82,77,51,90,85,29,59,66,3,59,82,40,77,33,49,43,89,79,80,95,86,44,33,6,18,59,2,56,22,31,38,59,53,33,11,35,62,33,6,38,23,83,20,19,90,70,91,58,56,29,8,93,68,51,12,39,14,33,68,17,22,94,14,48,72,5,77,39,91,31,36,22,33,12,77,57,92,91,95,1,50,62,7,90,36,98,42,26,24,60,42,95,2,12,37,21,36,83,83,24,76,4,6,72,13,29,64,87,18,42,15,25,53,38,69,90,94,9,66,61,17,6,5,12,87,33,1,22,29,41,62,24,1,24,53,3,30,91,1,78,91,64,87,59,9,87,18,50,38,35,28,97,85,78,98,30,94,92,51,39,99,40,16,9,67,63,95,74,23,73,9,95,89,36,43,21,2,93,29,73,27,59,71,76,19,37
75,97,38,33,80,51,16,70,7,13,99,89,37,65,62,58,35,31,25,0,62,24,65,71,94,11,66,47,85,8,64,9,46,50,55,77,1,28,16,81,23,15,74,87,17,91,94,26,35,28,48,61,48,29,97,89,49,70,38,22,10,25,41,90,69,33,45,68,77,31,61,9,50,37,24,54,10,80,49,94,18,81,75,97,40,81,70,51,65,80,64,79,69,26,93,12,89,48,83,99,65,14,29,97,51,18,33,80,57,75,51,67,9,4,29,91,4,14,36,15,46,51,14,0,10,52,29,68,98,37,41,59,44,76,59,44,30,7,28,71,25,99,6,33,95,19,73,38,2,67,88,93,9,72,33,95,67,77,84,69,10,98,99,24,1,57,98,91,79,76,46,85,79,15,31,57,28,88,62,17,6,53,78,81,83,81,53,11,88,93,26,78,34,40,78,14,90,77,4,21
44,67,82,37,84,12,16,56,73,36,0,12,41,45,4,48,28,2,33,24,90,34,58,6,25,37,15,22,18,66,12,0,41,83,62,36,28,85,53,18,18,37,40,82,57,42,47,82,53,38,67,18,99,78,85,54,12,63,90,54,88,31,64,21,45,88,54,23,27,40,54,79,93,0,55,53,30,48,16,24,1,66,50,5,24,94,25,48,29,21,62,22,53,37,51,58,61,52,47,2,74,66,9,76,16,27,73,19,16,73,15,92,99,22,78,6,90,16,73,56,7,31,57,94,48,20,17,63,64,50,79,62,33,75,41,62,6,47,65,64,62,84,84,98,38,85,29,44,98,83,66,60,62,63,39,51,3,71,68,73,19,48,21,50,57,80,32,51,55,78,58,62,28,70,1,75,76,10,55,17,69,92,43,31,7,98,96,37,72,33,22,8,2,57,2,78,96,51,0,30
38,86,78,74,54,88,93,54,84,78,80,38,16,40,55,74,60,1,44,77,42,12,68,41,1,78,62,8,47,86,84,16,30,9,77,92,16,11,45,43,0,29,94,13,16,4,84,11,60,17,91,18,18,40,13,77,9,15,99,23,35,32,95,19,62,34,29,43,18,12,32,29,81,39,96,16,89,55,21,81,90,47,3,76,8,44,26,95,80,64,40,72,41,56,26,63,83,98,13,50,35,9,23,65,97,79,59,34,56,74,11,66,41,23,50,33,58,36,70,72,47,17,55,36,49,10,35,53,78,11,6,82,71,71,29,77,92,9,82,33,9,61,69,73,99,22,12,65,94,21,20,6,13,61,80,49,22,98,7,11,49,12,79,88,54,16,43,79,30,14,1,24,49,92,47,31,38,52,44,44,17,15,3,99,94,45,82,49,49,91,48,5,6,11,3,4,43,79,53,48
19,19,70,96,37,12,67,53,58,29,45,28,82,5,70,33,65,93,1,93,2,11,10,25,83,95,54,72,28,95,51,19,21,68,87,26,3,34,89,26,71,0,60,53,76,86,73,19,85,98,69,70,93,66,56,54,24,74,82,2,36,89,46,13,73,14,56,21,81,21,81,8,20,71,33,33,7,45,50,52,52,42,42,52,7,22,66,36,30,45,31,74,13,31,93,1,66,69,39,42,22,61,72,77,25,42,51,79,93,55,1,57,55,52,4,20,24,86,99,32,67,0,37,68,83,46,78,6,4,91,67,79,29,21,0,72,2,1,84,80,78,20,37,34,17,20,87,34,11,5,38,17,60,63,39,94,3,10,27,70,55,85,3,88,11,11,14,56,85,79,9,43,31,30,84,89,68,62,75,84,71,18,71,89,68,20,77,44,54,52,73,55,96,84,43,88,91,98,64,40
