27,19,30,35,40,17,55,95,55,35,33,17,41,91,28,15,99,36
82,27,59,21,67,98,13,51,70,67,98,98,79,19,66,52,53,42
41,61,11,43,19,74,63,39,20,59,93,67,56,15,49,91,100,28
47,47,90,73,54,66,25,10,38,99,97,99,85,47,59,74,79,31
77,33,1,85,45,82,29,58,77,74,50,98,70,57,21,48,79,59
18,29,62,95,91,50,53,30,39,62,74,60,60,65,18,41,51,58
1,56,47,50,57,13,59,54,62,57,30,88,0,59,93,59,35,49
50,93,0,74,20,88,57,40,95,71,59,88,73,53,21,40,93,38
44,85,11,85,59,63,26,91,44,97,27,44,97,57,63,79,61,41
53,13,15,37,85,43,30,98,39,73,60,51,30,30,55,39,19,30
53,56,71,42,80,74,1,22,88,67,95,44,39,67,73,58,90,54
71,29,18,19,11,60,21,44,48,29,11,56,56,51,57,91,95,27
75,97,57,58,5,85,13,56,100,100,63,15,62,26,90,49,56,5
73,15,43,27,37,71,47,49,60,90,22,62,18,33,31,46,55,31
60,82,99,100,69,13,28,41,37,1,45,69,95,59,45,27,21,25
36,27,15,29,11,95,100,67,51,18,48,75,49,11,53,42,62,73
59,43,43,42,99,46,20,21,45,66,74,13,40,18,80,18,77,43
59,37,50,60,22,51,58,54,55,35,37,28,62,21,98,55,20,11
13,56,30,99,44,73,47,57,56,99,99,19,69,66,37,44,37,27
90,67,51,71,56,67,91,53,88,90,27,58,38,21,31,25,54,88
