25,30,100,40,45,65,31,0,40,25,40,31,30,45,0,100,65,40,A
10,100,0,5,60,70,80,30,10,10,5,80,100,60,30,0,70,10,B
30,50,100,40,45,10,35,60,0,30,40,35,50,45,60,100,10,0,A
10,100,40,0,70,50,20,50,60,10,0,20,100,70,50,40,50,60,C
80,60,0,40,10,50,100,5,20,80,40,100,60,10,5,0,50,20,A
30,100,50,40,0,90,50,75,29,30,40,50,100,0,75,50,90,29,A
0,100,50,90,63,50,46,82,52,0,90,46,100,63,82,50,50,52,B
40,100,65,33,25,65,80,0,65,40,33,80,100,25,0,65,65,65,A
30,100,22,35,0,45,51,50,20,30,35,51,100,0,50,22,45,20,A
40,15,70,22,80,0,30,100,55,40,22,30,15,80,100,70,0,55,C
